ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	2804	0	0	0.000000	13.098431	12.474679	0.000000	0.000000	0	575	0
2	3541	1	2	0.000000	14.586840	13.624965	0.000000	0.000000	0	813	0
3	638	0	0	0.000000	8.401254	8.200627	0.000000	0.000000	0	94	0
4	3816	0	0	0.000000	13.476153	13.106656	0.000000	0.000000	0	819	0
5	418	2	0	0.000000	12.593301	11.311005	0.000000	0.000000	0	57	0
6	17	2	2	0.000000	26.705882	16.352941	0.000000	0.000000	0	38	0
7	78	0	0	0.000000	9.128205	9.128205	0.000000	0.000000	0	22	0
8	21	2	1	0.000000	17.714286	14.190476	0.000000	0.000000	0	27	0
9	23	1	1	0.000000	14.347826	6.478261	0.000000	0.000000	0	24	0
10	703	0	1	0.000000	12.870555	11.864865	0.000000	0.000000	0	160	0
11	7	0	1	0.000000	14.285714	12.857143	0.000000	0.000000	0	9	0
12	681	0	2	0.000000	11.847283	11.381791	0.000000	0.000000	0	133	0
13	1224	0	0	0.000000	13.364379	12.813725	0.000000	0.000000	0	262	0
14	164	1	0	0.000000	9.408537	9.030488	0.000000	0.000000	0	37	0
15	1447	0	0	0.000000	10.183138	9.915688	0.000000	0.000000	0	235	0
16	1454	0	0	0.000000	12.538514	12.246905	0.000000	0.000000	0	292	0
17	45	1	1	0.000000	9.644444	8.800000	0.000000	0.000000	0	13	0
18	4	1	2	0.000000	13.500000	12.500000	0.000000	0.000000	0	9	0
19	29	1	0	0.000000	7.448276	7.448276	0.000000	0.000000	0	10	0
20	1486	1	0	0.000000	13.234186	12.661507	0.000000	0.000000	0	328	0
21	27	2	1	0.000000	17.148148	16.148148	0.000000	0.000000	0	25	0
22	6	1	1	0.000000	9.833333	9.833333	0.000000	0.000000	0	15	0
23	14	1	2	0.000000	48.071429	48.071429	0.000000	0.000000	0	63	0
24	3	2	2	0.000000	65.333333	61.666667	0.000000	0.000000	0	62	0
25	1	2	1	0.000000	50.000000	50.000000	0.000000	0.000000	0	49	0
26	129	0	1	0.000000	12.542636	12.302326	0.000000	0.000000	0	36	0
27	8	1	2	0.000000	17.750000	17.750000	0.000000	0.000000	0	18	0
28	1	1	2	0.000000	40.000000	40.000000	0.000000	0.000000	0	40	0
29	17	1	2	0.000000	44.705882	44.705882	0.000000	0.000000	0	52	0
30	286	0	0	0.000000	10.202797	10.094406	0.000000	0.000000	0	56	0
31	1468	1	0	0.000000	9.278610	9.064714	0.000000	0.000000	0	215	0
32	282	0	0	0.000000	13.216312	12.751773	0.000000	0.000000	0	66	0
33	81	0	1	0.000000	9.753086	9.753086	0.000000	0.000000	0	21	0
34	7	2	1	0.000000	23.142857	23.142857	0.000000	0.000000	0	8	0
35	3	2	1	0.000000	31.666667	31.666667	0.000000	0.000000	0	32	0
36	48	1	1	0.000000	11.666667	11.020833	0.000000	0.000000	0	22	0
37	18	1	0	0.000000	15.166667	6.777778	0.000000	0.000000	0	19	0
38	18	1	0	0.000000	14.500000	14.500000	0.000000	0.000000	0	16	0
39	414	0	0	0.000000	8.567633	8.342995	0.000000	0.000000	0	57	0
40	10	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	10	0
41	31	1	1	0.000000	10.193548	10.193548	0.000000	0.000000	0	15	0
42	4	1	2	0.000000	14.250000	14.250000	0.000000	0.000000	0	6	0
43	1	1	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	2	0
