ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	892	1	1	0.000000	6.819507	6.819507	0.000000	0.000000	0	174	0
2	9	1	2	0.000000	25.000000	22.777778	0.000000	0.000000	0	29	0
3	3	1	2	0.000000	31.000000	11.000000	0.000000	0.000000	0	31	0
4	15	2	1	0.000000	21.133333	14.800000	0.000000	0.000000	0	30	0
5	864	2	1	0.000000	8.172454	8.172454	0.000000	0.000000	0	206	0
6	459	1	1	0.000000	6.592593	6.592593	0.000000	0.000000	0	91	0
7	69	1	1	0.000000	6.898551	6.898551	0.000000	0.000000	0	26	0
8	30	1	1	0.000000	8.066667	8.066667	0.000000	0.000000	0	21	0
9	50	1	1	0.000000	7.140000	7.140000	0.000000	0.000000	0	15	0
10	1	1	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	9	0
11	1	3	3	0.000000	46.000000	46.000000	0.000000	0.000000	0	16	0
12	1	2	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	9	0
13	99	1	1	0.000000	7.767677	7.767677	0.000000	0.000000	0	32	0
14	73	1	1	0.000000	9.657534	9.657534	0.000000	0.000000	0	25	0
15	21	2	1	0.000000	39.380952	12.809524	0.000000	0.000000	0	44	0
16	2	2	1	0.000000	25.000000	17.000000	0.000000	0.000000	0	17	0
17	1	1	1	0.000000	18.000000	10.000000	0.000000	0.000000	0	10	0
18	1	2	2	0.000000	26.000000	18.000000	0.000000	0.000000	0	11	0
19	36	1	1	0.000000	9.527778	9.527778	0.000000	0.000000	0	16	0
20	35	1	1	0.000000	7.800000	7.800000	0.000000	0.000000	0	16	0
21	6	2	2	0.000000	38.333333	11.333333	0.000000	0.000000	0	46	0
22	60	1	1	0.000000	7.450000	7.450000	0.000000	0.000000	0	19	0
23	17	1	1	0.000000	8.235294	8.235294	0.000000	0.000000	0	13	0
24	34	1	1	0.000000	6.647059	6.647059	0.000000	0.000000	0	13	0
25	1	2	2	0.000000	48.000000	28.000000	0.000000	0.000000	0	30	0
26	34	1	1	0.000000	4.088235	4.088235	0.000000	0.000000	0	11	0
27	8	2	2	0.000000	31.500000	27.750000	0.000000	0.000000	0	37	0
28	6	2	1	0.000000	22.833333	22.166667	0.000000	0.000000	0	26	0
29	17	1	1	0.000000	16.176471	16.176471	0.000000	0.000000	0	22	0
30	19	1	1	0.000000	7.315789	7.315789	0.000000	0.000000	0	11	0
31	1	2	2	0.000000	11.000000	11.000000	0.000000	0.000000	0	11	0
32	8	1	2	0.000000	9.625000	9.625000	0.000000	0.000000	0	13	0
33	48	1	0	0.000000	6.729167	6.729167	0.000000	0.000000	0	13	0
34	1	1	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	7	0
35	1	1	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	14	0
36	5	1	2	0.000000	26.000000	23.800000	0.000000	0.000000	0	22	0
37	6	2	2	0.000000	31.166667	27.166667	0.000000	0.000000	0	27	0
38	15	1	1	0.000000	21.666667	16.400000	0.000000	0.000000	0	30	0
39	4	1	1	0.000000	12.750000	12.750000	0.000000	0.000000	0	9	0
40	2	2	1	0.000000	37.500000	25.000000	0.000000	0.000000	0	7	0
41	3	2	1	0.000000	18.000000	13.666667	0.000000	0.000000	0	7	0
42	1	2	2	0.000000	13.000000	13.000000	0.000000	0.000000	0	9	0
43	3	2	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	4	0
44	9	2	1	0.000000	9.888889	9.888889	0.000000	0.000000	0	7	0
45	29	1	1	0.000000	7.793103	7.793103	0.000000	0.000000	0	15	0
46	3	1	2	0.000000	20.000000	20.000000	0.000000	0.000000	0	21	0
47	53	1	1	0.000000	7.150943	7.150943	0.000000	0.000000	0	17	0
48	9	2	1	0.000000	9.666667	7.000000	0.000000	0.000000	0	12	0
49	153	1	1	0.000000	6.986928	6.986928	0.000000	0.000000	0	36	0
50	68	1	1	0.000000	5.147059	5.147059	0.000000	0.000000	0	13	0
51	66	1	1	0.000000	5.393939	5.393939	0.000000	0.000000	0	12	0
52	3	1	1	0.000000	4.666667	4.666667	0.000000	0.000000	0	5	0
53	31	1	1	0.000000	6.387097	6.387097	0.000000	0.000000	0	10	0
54	30	1	1	0.000000	5.766667	5.766667	0.000000	0.000000	0	13	0
55	34	1	1	0.000000	10.029412	10.029412	0.000000	0.000000	0	18	0
56	1	2	2	0.000000	9.000000	9.000000	0.000000	0.000000	0	9	0
57	46	1	1	0.000000	8.304348	8.304348	0.000000	0.000000	0	16	0
58	1	2	2	0.000000	7.000000	7.000000	0.000000	0.000000	0	7	0
